created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 20 11:01:57 +0000 2023;1726556481275740198;"Dapat 2 nih  https://t.co/5uXDTdv51F https://t.co/ZQEGPCEsaF";0;0;0;0;in;1581884899560423424;1726556481275740198;berburusales;https://twitter.com/berburusales/status/1726556481275740198
Mon Nov 20 11:01:35 +0000 2023;1726556387126432072;"Cuma Acer yang bisa kasih kamu diskon bertubi-tubi🤭   Beli laptop Acer Aspire 3 Slim atau Aspire 3 Spin dengan Intel®️ Core™️ i3, GRATIS gift voucher Indomaret senilai Rp50.000!   Multitasking semakin cepat dengan performa 8 Core dari prosesor Intel®️ Core™️ i3-N305 untuk https://t.co/yJnLtcEy70";0;1;0;0;in;84303782;1726556387126432072;acerID;https://twitter.com/acerID/status/1726556387126432072
Mon Nov 20 11:01:26 +0000 2023;1726556351407718667;"@sbtgirlgroup take banyak yuk nder abis di hnr :( nanti aku kasi diskon diskon 😭 dom jabar https://t.co/nnGKRAQmub";1;0;0;0;in;1713189611961524224;1726553889774997953;COFEYJN;https://twitter.com/COFEYJN/status/1726556351407718667
Mon Nov 20 11:01:24 +0000 2023;1726556341114896777;"@clouriine Haloo kak, masih need? Kalau masih aku ready yaa kak. Legend 5k/star, bisa bayar belakangan. Order banyak bakal ada diskon. Kalau berminat bisa dm atauu chat wa yang ada di bio.";0;1;0;0;in;1571674717265989634;1726541281554538902;Bougainvilleea_;https://twitter.com/Bougainvilleea_/status/1726556341114896777
Mon Nov 20 11:01:02 +0000 2023;1726556251486842903;"@nciW1NT3333333R Iyaa nih kamu mau beli obat buat singset gak murah ko lagi diskon";0;0;0;0;in;979213015420579841;1726554416659177767;nciZIGE;https://twitter.com/nciZIGE/status/1726556251486842903
Mon Nov 20 11:00:48 +0000 2023;1726556190593945606;"@kkeimcd Haloo kak, masih need kah? Sama aku bisa, Mythic 8k/star. Take banyak bakal ada diskon, bisa bayar belakangan. Kalau berminat bisa dm atau chat wa yang ada di bio.";0;1;0;0;in;1571674717265989634;1726550288847581321;Bougainvilleea_;https://twitter.com/Bougainvilleea_/status/1726556190593945606
Mon Nov 20 11:00:45 +0000 2023;1726556176689844533;"Kode Promo Grab November 2023 Awal Minggu Pekan Ketiga, Hemat Ada Banyak Diskon Layanan , GrabBike dan GrabFood GrabCar dan GrabMart - Dicintai https://t.co/MnVbaadZas";0;0;0;0;in;120283718;1726556176689844533;stevegerard22;https://twitter.com/stevegerard22/status/1726556176689844533
Mon Nov 20 11:00:44 +0000 2023;1726556174693343499;"[KLAIM] Voucher Freemir  * Diskon 100 ribu * Diskon 50% s/d 200 ribu  Klaim di sini👇🏼 https://t.co/ErZmceGMde";0;0;0;0;in;1697418652784766976;1726555944707109233;squinrel;https://twitter.com/squinrel/status/1726556174693343499
Mon Nov 20 11:00:37 +0000 2023;1726556144343392553;"Unik Bearhug Koko Muslim Bayi Laki-Laki Peci Bordir XKG407 Maroon 6-18M - 6 Diskon JF9FSL7  https://t.co/HgEKqjDnjJ https://t.co/anPMYEndHt";0;0;0;0;in;1585689126904397837;1726556144343392553;hillsnbluu;https://twitter.com/hillsnbluu/status/1726556144343392553
Mon Nov 20 11:00:17 +0000 2023;1726556062567002300;"@sbtgirlgroup boleh nego, take &gt  1 ada diskon https://t.co/hQFDcu2AZR";0;0;0;0;in;2758834240;1726555411065758055;kittciy;https://twitter.com/kittciy/status/1726556062567002300
Mon Nov 20 10:59:56 +0000 2023;1726555974738305283;"@bunniesmart boleh nego, take &gt  1 aku diskon https://t.co/qwUCBknv51";0;0;0;0;in;2758834240;1726555345471115578;kittciy;https://twitter.com/kittciy/status/1726555974738305283
Mon Nov 20 10:59:36 +0000 2023;1726555890713849868;"Kalau mau dapet 250k poin harus ke level premium ya (min gaji 3 jt) kalau di bawah itu masi dapet poin cumann 25k";0;0;0;0;in;1332560032970379265;1726555842999435653;ureinaoi;https://twitter.com/ureinaoi/status/1726555890713849868
Mon Nov 20 10:59:32 +0000 2023;1726555872648908859;"@sbtgirlgroup boleh nego, take &gt  1 aku diskon https://t.co/qwUCBknv51";0;0;0;0;in;2758834240;1726554836500672515;kittciy;https://twitter.com/kittciy/status/1726555872648908859
Mon Nov 20 10:59:29 +0000 2023;1726555860057604249;"@bunniesmart boleh nego, take &gt  1 aku diskon https://t.co/qwUCBknv51";0;0;0;0;in;2758834240;1726555065597784216;kittciy;https://twitter.com/kittciy/status/1726555860057604249
Mon Nov 20 10:59:25 +0000 2023;1726555842999435653;"Cari promo burek tapi ga ada?  mending incer promoan dari daftar kredivo pake referral temen (punya aku: nazw6rwmo) bisa dapet 250k point yang dituker ke voucher diskon belanja 50% maks 100k (-200k point)/bisa diconvert ke uang pas belanja 250k -&gt  125k. Cek twt 👇 https://t.co/p7A79m8cgt";0;1;0;0;in;1332560032970379265;1726555842999435653;ureinaoi;https://twitter.com/ureinaoi/status/1726555842999435653
Mon Nov 20 10:58:54 +0000 2023;1726555712527171890;"@calonbudoktermu Adaa";0;0;0;1;in;1575080964635512833;1726522983777484878;UdinWant;https://twitter.com/UdinWant/status/1726555712527171890
Mon Nov 20 10:58:50 +0000 2023;1726555694546194899;"Diskon 95% tapi maksimal gopek itu mau ngajak ribut apa gmn @GrabID https://t.co/RM3Wu8nmFn";0;1;0;0;in;1273836649743556608;1726555694546194899;THirziman;https://twitter.com/THirziman/status/1726555694546194899
Mon Nov 20 10:58:02 +0000 2023;1726555492942786902;"Adakah diskon pulsa?";0;0;0;0;in;3260770466;1726555492942786902;beeforyeol;https://twitter.com/beeforyeol/status/1726555492942786902
